iter	Accuracy	MultiClass
66	0.6781876787	0.9176069977
67	0.6781638776	0.9159046242
68	0.6785447311	0.9132536915
69	0.6782580173	0.9126656721
70	0.6777140504	0.9092051112
71	0.6778803801	0.9083911986
72	0.6782631102	0.9070498148
73	0.6791497058	0.9036856374
74	0.6793219728	0.9013226004
75	0.6796696442	0.8997728593
76	0.6797261235	0.8980507431
77	0.6798956896	0.8962485973
78	0.6802419688	0.893256139
79	0.6803178235	0.8930942862
80	0.6827041235	0.8887037145
81	0.6826219749	0.8871812134
82	0.682217001	0.8837181965
83	0.6832898915	0.8812310589
84	0.6835103807	0.8801161491
85	0.6835398057	0.8790823303
86	0.6837995248	0.8775123526
87	0.6842909363	0.8753112659
88	0.6843518386	0.8749667304
89	0.6843321482	0.8741910604
90	0.6842368399	0.8733633613
91	0.6849340085	0.872052687
92	0.6845645863	0.8716822987
93	0.6845491839	0.87114849
94	0.6844412645	0.8693114208
95	0.6848190465	0.8650214559
96	0.6851595566	0.8630497153
97	0.6856930574	0.8611716557
98	0.6857998738	0.8591056895
99	0.6855793823	0.8589206904
100	0.6856029219	0.8578957695
101	0.6859182456	0.8563845453
102	0.6859095292	0.8546748642
103	0.6869354821	0.8524207807
104	0.6871445939	0.850421031
105	0.6875572684	0.8492065537
106	0.688404276	0.8477804366
107	0.6885499889	0.8475482732
108	0.6895713711	0.8474159543
109	0.6898438342	0.8465731544
110	0.6905723433	0.8443462383
111	0.6900000464	0.8430256792
112	0.6899970518	0.8429648368
113	0.6907895055	0.8416277346
114	0.6914817058	0.841099965
115	0.6925315121	0.8393539441
116	0.6925315121	0.8393538839
117	0.6925250939	0.8388908989
118	0.6922344246	0.8379252228
119	0.6925223179	0.8359345241
120	0.6928888644	0.8353017841
121	0.6926903531	0.8346400631
122	0.6927321609	0.8345860377
123	0.6934251957	0.8336176136
124	0.6944464049	0.8313540348
125	0.6946927742	0.8295710511
126	0.6949455105	0.8294470496
127	0.6951373497	0.8291524354
128	0.6953271393	0.8280262265
129	0.6959016955	0.8269299796
130	0.6959016955	0.826929947
131	0.6961107603	0.8260287949
132	0.6963892561	0.8256633826
133	0.6966622277	0.824817629
134	0.6974385839	0.8241396302
135	0.6978256223	0.8239237582
136	0.6978116186	0.8230462673
137	0.6977779265	0.823046243
138	0.6978772151	0.8223597672
139	0.697991094	0.8220115784
140	0.6979877638	0.8218642466
141	0.6978507099	0.8215536152
142	0.6979187547	0.8208452109
143	0.6990743625	0.8199508525
144	0.6986027894	0.8176174135
145	0.6983806714	0.8174601912
146	0.6983859532	0.8170955671
147	0.6986660983	0.8162229487
148	0.6986660983	0.8162216306
149	0.6983286273	0.8161454211
150	0.6984006723	0.8158813532
151	0.6986371301	0.815770028
152	0.6986868947	0.8152237858
153	0.6986753438	0.8140685037
154	0.6987991038	0.8134440971
155	0.6990720336	0.8131954709
156	0.6991467716	0.8130944179
157	0.6994410789	0.811994548
158	0.7003289059	0.8109716165
159	0.7015823145	0.8090001241
160	0.701467767	0.8089511764
161	0.7017618164	0.8086164938
162	0.7017713484	0.8086163056
163	0.7024806587	0.8083553115
164	0.7025956615	0.8068079872
165	0.7025841569	0.8067000075
166	0.7038918148	0.8063170382
167	0.7038599405	0.8058847824
168	0.703928321	0.8054039229
169	0.7039944208	0.8052926963
170	0.7037873979	0.8050879356
171	0.7039874227	0.8046162896
172	0.7037879214	0.803949533
173	0.7039225443	0.8039137645
174	0.7039225443	0.8039137482
175	0.7039416082	0.8038839545
176	0.7035738228	0.8027800054
177	0.7037807615	0.8021496331
178	0.7043875563	0.8019182247
179	0.7049219867	0.8018534055
180	0.7051896376	0.8012055385
181	0.7052609698	0.801088259
182	0.7063215369	0.8000736997
183	0.7060799344	0.7997845595
184	0.7060397609	0.7993000135
185	0.7060409811	0.7992809901
186	0.7058407033	0.7992621071
187	0.7074064713	0.798928677
188	0.7070471217	0.7987057175
189	0.7070963786	0.7985374613
190	0.7070963786	0.7985354674
191	0.708328017	0.7972530861
192	0.708625858	0.7963253031
193	0.708505113	0.7960568481
194	0.7086430762	0.7959465806
195	0.7080279356	0.7953434999
196	0.7089331081	0.7947092431
197	0.7093828146	0.7940347159
198	0.7093421001	0.7937080895
199	0.7093982694	0.7934483087
200	0.7094240017	0.7930771173
201	0.7093585437	0.7930167393
202	0.7093585437	0.7930167204
203	0.7093210043	0.7928016287
204	0.7094287096	0.7925940393
205	0.7096242869	0.7923969488
206	0.7093555085	0.7923520241
207	0.709340961	0.7923004825
208	0.7095538648	0.7915389564
209	0.7095024225	0.7914068131
210	0.7093886625	0.7907673457
211	0.7098695972	0.7898760022
212	0.7098695972	0.7898758405
213	0.7097757866	0.7893980176
214	0.7114322639	0.7889665868
215	0.7115620893	0.7885903657
216	0.7114984661	0.7884541468
217	0.7114979761	0.788313635
218	0.7116821388	0.7878272743
219	0.7117254487	0.7877249965
220	0.7113953849	0.7872845449
221	0.7115139085	0.7866787869
222	0.7115375135	0.7864930621
223	0.7119648779	0.7862790786
224	0.7121682514	0.784946163
225	0.7120112544	0.7848980869
226	0.7117862594	0.7844899135
227	0.7116692567	0.7843427926
228	0.7116587479	0.7841778493
229	0.7116659115	0.7839608861
230	0.71187416	0.7831094931
231	0.711937083	0.782850954
232	0.7122562284	0.7821978267
233	0.7122420823	0.7818726093
234	0.7122039612	0.7818547516
235	0.71244899	0.7815703549
236	0.7124514947	0.7815566061
237	0.7125831136	0.7809176913
238	0.7125302761	0.78089678
239	0.7124315358	0.7805876977
240	0.7125781186	0.7796220371
241	0.7126443997	0.778781188
242	0.7128172513	0.7770181617
243	0.7129676981	0.7758952731
244	0.7127845244	0.7749024116
245	0.712821017	0.7746028087
246	0.7130496909	0.7732897913
247	0.7131546167	0.77197228
248	0.7134970653	0.7710108612
249	0.7136547098	0.7697095088
250	0.713781855	0.7688535931
251	0.7138851341	0.7686726569
252	0.7144199301	0.7672429277
253	0.7144717045	0.7672392526
254	0.7146283525	0.766706419
255	0.7144598852	0.766255794
256	0.7148127634	0.7654301807
257	0.7149934474	0.7643565574
258	0.7155782546	0.7640925806
259	0.7158602906	0.7626814982
260	0.7158368302	0.7622457329
261	0.7168843051	0.7616923568
262	0.7171034434	0.7610987905
263	0.7173327116	0.7607861522
264	0.7177541156	0.7605903265
265	0.7175716157	0.7601421109
266	0.7177182115	0.7590940209
267	0.7177654192	0.758935908
268	0.7179149074	0.758100548
269	0.7179322743	0.7579887327
270	0.7181007596	0.7571181866
271	0.7187330479	0.7568158722
272	0.7187444707	0.7552354519
273	0.7189011388	0.7545084626
274	0.7196454761	0.7539024594
275	0.7198883929	0.7526841976
276	0.7196976478	0.7513684334
277	0.7198298952	0.7500439923
278	0.719849542	0.7493881959
279	0.720212061	0.7490156335
280	0.7200556218	0.748552761
281	0.7201358382	0.7481527784
282	0.7202210618	0.7469725947
283	0.7202914284	0.7461974728
284	0.7203796706	0.745356107
285	0.7204454794	0.7443659685
286	0.7205843021	0.7434394542
287	0.7212447284	0.7432243784
288	0.7214361382	0.7423047696
289	0.7216526648	0.7416095509
290	0.7213591688	0.7408582905
291	0.7220192913	0.7405950126
292	0.7222683596	0.739646922
293	0.7221211223	0.7387985632
294	0.7222865568	0.7382942126
295	0.7221553658	0.7379583593
296	0.7219891443	0.7369210388
297	0.7223618636	0.736724945
298	0.7227242042	0.7364459411
299	0.7230360288	0.7362474538
300	0.7231361538	0.7360562716
301	0.7233337313	0.7356070922
302	0.7234976008	0.7354220042
303	0.7238195258	0.7347093808
304	0.724015048	0.7339515505
305	0.7237423449	0.7333239839
306	0.7239494892	0.7330577429
307	0.7240631132	0.7323523531
308	0.7237308261	0.7321786171
309	0.7237991106	0.731760822
310	0.7243239636	0.7316507109
311	0.7246652313	0.7313978634
312	0.7248651059	0.7307319949
313	0.7250962531	0.7305036183
314	0.7249831078	0.7302523051
315	0.72526162	0.7298135517
316	0.7255153872	0.7296503498
317	0.7255179794	0.7291974047
318	0.7255995883	0.7291119881
319	0.7261367952	0.7288839095
320	0.7262235083	0.7287564268
321	0.7261248333	0.7281776696
322	0.7262271186	0.7274824309
323	0.7263823843	0.7268182095
324	0.7265836687	0.7263586918
325	0.7266799471	0.7261298907
326	0.7267832878	0.7259812332
327	0.726999295	0.7257912019
328	0.7268187141	0.7256094023
329	0.7269826869	0.7250480494
330	0.7270308662	0.7249259502
331	0.7270947521	0.724616314
332	0.727456049	0.7238679647
333	0.7276268527	0.7236078595
334	0.7277988702	0.7234437746
335	0.7286829204	0.723196928
336	0.7280635395	0.7229328494
337	0.728393579	0.7227621945
338	0.7290346808	0.7223535429
339	0.7289570936	0.7216217827
340	0.7288133826	0.7214347718
341	0.7289793987	0.7213081642
342	0.7290607682	0.7211716982
343	0.7292946971	0.7208969904
344	0.7291723114	0.7207106909
345	0.7293771259	0.7204314227
346	0.7296849941	0.7202470427
347	0.7294754812	0.7201231715
348	0.7296380723	0.7200440361
349	0.7297869717	0.719826464
350	0.7300952756	0.7195614934
351	0.7304856631	0.7193909262
352	0.7302843676	0.7192067427
353	0.7303503214	0.7190853196
354	0.7305958847	0.7189646041
355	0.7305574525	0.7187019392
356	0.7306089224	0.7185404392
357	0.7306286135	0.7183804779
358	0.7307603491	0.7183029749
359	0.7307086001	0.7182390209
360	0.7305142683	0.7180298717
361	0.7309364309	0.7178296258
362	0.7312045221	0.7172807061
363	0.7314586617	0.7168023879
364	0.7317241977	0.716631812
365	0.7313489534	0.7164649701
366	0.7314992121	0.7163091969
367	0.7318856932	0.715707757
368	0.7320263163	0.7151062728
369	0.7321729594	0.7149691693
370	0.7323241022	0.7143087648
371	0.7327940574	0.7140311494
372	0.7326813271	0.7138480347
373	0.7327771774	0.7130539822
374	0.7327507625	0.7123053426
375	0.733209633	0.7120658291
376	0.7334615895	0.711828407
377	0.7338120474	0.7112035284
378	0.7337290124	0.7109989397
379	0.7339281323	0.710899413
380	0.7340604042	0.7107951791
381	0.7341016027	0.7106451555
382	0.734137188	0.7105577245
383	0.7339283089	0.7104996698
384	0.7339989346	0.7104018998
385	0.7341989953	0.7101104046
386	0.7342517308	0.7099520458
387	0.7345900561	0.7097830766
388	0.7346206922	0.7096249524
389	0.7346473521	0.7095249542
390	0.7346690072	0.7093233355
391	0.734612506	0.7092206522
392	0.734786442	0.7090698582
393	0.7349165382	0.7089595913
394	0.7343792784	0.7086684045
395	0.734614565	0.7085494364
396	0.7347248265	0.7084824939
397	0.7348379336	0.7078780929
398	0.7352595701	0.7075473604
399	0.7355514957	0.7074416961
400	0.735564811	0.7073032758
401	0.7356002093	0.7071504586
402	0.735571714	0.7069997672
403	0.7355864386	0.7065714811
404	0.7356128075	0.7062772725
405	0.7357446684	0.7058160675
406	0.7356367015	0.7055614193
407	0.7357098809	0.705462221
408	0.7356249678	0.705355736
409	0.7361642274	0.7051352301
410	0.7361906457	0.7050761258
411	0.7363086936	0.7046435583
412	0.7365112913	0.7045550783
413	0.7366596606	0.7042518493
414	0.7366556773	0.7041555846
415	0.7365751016	0.7040437495
416	0.7365519624	0.7039807476
417	0.7368076539	0.7038859919
418	0.7370008352	0.7035538115
419	0.7370304623	0.7033938491
420	0.7370288792	0.7033349802
421	0.7369520955	0.7032862846
422	0.7368429304	0.7032258383
423	0.7368659981	0.7031012281
424	0.7370858721	0.7030265044
425	0.7370678018	0.7029543161
426	0.7370346551	0.7028604808
427	0.7371166958	0.7026644983
428	0.7374640935	0.7024930429
429	0.7375033324	0.7021389241
430	0.737464623	0.7020338937
431	0.7376168045	0.7015693868
432	0.7377142917	0.7014348625
433	0.7378952885	0.7009914061
434	0.7378471422	0.7006353756
435	0.7377807539	0.7005558477
436	0.7380006874	0.7001416579
437	0.7380441668	0.6995970066
438	0.7380083732	0.6994473243
439	0.7380750316	0.6992038609
440	0.7377585964	0.6989915463
441	0.7375674335	0.6989223468
442	0.7377495313	0.6984914795
443	0.7377670613	0.6981594694
444	0.7378579809	0.6980545299
445	0.7378344298	0.6979501243
446	0.7382375712	0.6977748866
447	0.7387615383	0.6975492835
448	0.7389086313	0.6970917858
449	0.7389605154	0.6969284516
450	0.7392282292	0.6968010568
451	0.7392085324	0.6966496006
452	0.7396265313	0.696454293
453	0.7397541437	0.6964134387
454	0.73991449	0.6960113896
455	0.7400899348	0.6958919192
456	0.7399751053	0.6955998083
457	0.7399099694	0.6954776732
458	0.7400064941	0.6953798524
459	0.7400782864	0.6952358944
460	0.741043852	0.6948105074
461	0.7410062131	0.6947525473
462	0.7410998067	0.6945345506
463	0.7411450277	0.6944372985
464	0.7412059439	0.6942745805
465	0.7415449352	0.6940955357
466	0.741647734	0.6938427297
467	0.7416048254	0.6936589196
468	0.7420695309	0.6934973734
469	0.7419960798	0.6933950099
470	0.7421854719	0.6931800558
471	0.7425321807	0.693037212
472	0.742563551	0.6929428362
473	0.7424676058	0.6928386061
474	0.7429259469	0.6927325593
475	0.7425019461	0.6926756625
476	0.7426274488	0.692565618
477	0.7428422499	0.6924635668
478	0.7429797377	0.6923388636
479	0.7428841532	0.6921477642
480	0.7429963757	0.691714724
481	0.7431330624	0.691669541
482	0.7429701314	0.691566585
483	0.7431088944	0.691454321
484	0.7431387768	0.6910520346
485	0.7431982547	0.6909982117
486	0.7433333616	0.6909313656
487	0.7433666374	0.6909046744
488	0.743491139	0.6906267781
489	0.7435804743	0.6904869663
490	0.743664951	0.6904270806
491	0.7436841056	0.6900713651
492	0.7436874985	0.6899736002
493	0.7436933706	0.6898958075
494	0.7437921839	0.6895354092
495	0.7438038726	0.689411866
496	0.7438796642	0.6889991475
497	0.7439150766	0.6884645438
498	0.7441394026	0.6883155911
499	0.7442311209	0.6881124352
500	0.7443970403	0.6880650886
501	0.7442788944	0.6879208099
502	0.7443202905	0.6876301768
503	0.7442977008	0.6875761295
504	0.7443276949	0.6871856241
505	0.7443031149	0.6870737621
506	0.7444079922	0.6867725035
507	0.7444694327	0.6864448772
508	0.7447285007	0.6860254703
509	0.7451271178	0.6858410349
510	0.74495485	0.6857606422
511	0.744940093	0.6856659547
512	0.7450069632	0.6856135881
513	0.7451488173	0.6854470337
514	0.745020036	0.6854032743
515	0.7453342268	0.6849115759
516	0.7453655983	0.684825761
517	0.7454405711	0.6844678543
518	0.7451642251	0.6843910335
519	0.7453126006	0.6843013323
520	0.7454720732	0.6842066199
521	0.7453781682	0.6840616608
522	0.7453450823	0.6837350403
523	0.745898261	0.6836371407
524	0.7458886847	0.6833080295
525	0.7457882889	0.6831817059
526	0.7457941578	0.6830588953
527	0.7458189557	0.6829634999
528	0.7460652943	0.6828159291
529	0.7462954134	0.6826963961
530	0.7463002327	0.6825824631
531	0.7462326689	0.6824496607
532	0.74631927	0.6824011353
533	0.7465622265	0.6822987058
534	0.7467115073	0.6818471945
535	0.7467754354	0.6817258126
536	0.7468543223	0.6815511111
537	0.7469575522	0.6814726734
538	0.7471614652	0.6812125558
539	0.7474722086	0.6810735515
540	0.7474142762	0.6810008738
541	0.7476566546	0.6809031714
542	0.7477910407	0.6804360213
543	0.7479108142	0.6803388622
544	0.747949039	0.6802303554
545	0.7478845115	0.6801724428
546	0.7479005048	0.6799591608
547	0.7480154703	0.6798697848
548	0.7490043459	0.6795305246
549	0.7489155849	0.679412632
550	0.7490306837	0.679291906
551	0.7490789093	0.6791692818
552	0.7490656594	0.6790954557
553	0.7492769258	0.6790166768
554	0.7491798071	0.6789612568
555	0.7490995139	0.6788478358
556	0.7491472607	0.67832691
557	0.7490713705	0.6782878151
558	0.7490619441	0.678211299
559	0.7489020752	0.6781548261
560	0.7492749347	0.6780109694
561	0.7494250926	0.6778884825
562	0.7493011066	0.6778144947
563	0.7494128557	0.6777420828
564	0.7495068664	0.6776681359
565	0.7494008214	0.6775411406
566	0.749343917	0.6774556157
567	0.7493774252	0.6769765729
568	0.7495155806	0.6768948467
569	0.7496945808	0.6765208914
570	0.7500009169	0.6763174465
571	0.7498020218	0.6761709844
572	0.7499841617	0.6760309804
573	0.7500843699	0.6759110244
574	0.7501713866	0.6757230025
575	0.7503029823	0.6755811737
576	0.7503926706	0.6753202864
577	0.7503941067	0.6749433527
578	0.7513645399	0.6747213849
579	0.7514543809	0.6743484997
580	0.7511928026	0.6742972187
581	0.7513286847	0.6742182344
582	0.7512641372	0.6741286699
583	0.7513801846	0.6740727658
584	0.7516957703	0.6738628373
585	0.7514134463	0.6737754271
586	0.7514318051	0.673746015
587	0.751423775	0.6734862411
588	0.7513469415	0.6733360113
589	0.7515925423	0.6733112441
590	0.7517576307	0.6731979612
591	0.7516670224	0.6729615042
592	0.751806151	0.6728762023
593	0.7517448999	0.6727537961
594	0.7517700312	0.6726369618
595	0.7524490062	0.6724459993
596	0.7525429586	0.6722250441
597	0.7525443146	0.6721186068
598	0.7526689154	0.6719676072
599	0.7527120553	0.6718292111
600	0.7527240579	0.6717227282
601	0.7526841884	0.6716234614
602	0.7527771226	0.6711961837
603	0.7527580108	0.6710841776
604	0.7528695968	0.6709043752
605	0.7529799589	0.6708441157
606	0.7530246416	0.6707878003
607	0.7531929334	0.6706774322
608	0.7533527905	0.6702818346
609	0.753213581	0.6702126886
610	0.753654349	0.6700745824
611	0.7537549525	0.6699928959
612	0.7537379344	0.6699283247
613	0.7537665728	0.669838097
614	0.7537652458	0.6697563108
615	0.7539330124	0.6696686713
616	0.7539370914	0.6694420408
617	0.7537701705	0.6693172254
618	0.7538670718	0.6691988196
619	0.7539728999	0.6691438283
620	0.754173999	0.6690059738
621	0.7540586953	0.6686526184
622	0.7542195119	0.6685855611
623	0.7542654372	0.6685352487
624	0.7542864948	0.6683685066
625	0.7544504226	0.6682283868
626	0.7547534547	0.6681299656
627	0.7550401145	0.6678117898
628	0.7549300859	0.6677400006
629	0.7551218094	0.6676495657
630	0.7550112826	0.6675373633
631	0.7551363783	0.6674022148
632	0.7551614089	0.6672124249
633	0.7551214564	0.6668779215
634	0.7552145367	0.6667378041
635	0.755225447	0.6664680404
636	0.7552079008	0.6663930971
637	0.7552014309	0.6663568908
638	0.7552418988	0.6663109689
639	0.7552718366	0.6662134302
640	0.7553528533	0.6661553278
641	0.7552064749	0.6660685086
642	0.7553968431	0.6657591195
643	0.7553564392	0.6654083836
644	0.7553344612	0.6653228638
645	0.7554069545	0.6651006665
646	0.755497399	0.6649681535
647	0.755481749	0.6648673589
648	0.7555242751	0.6647623797
649	0.7553648367	0.6646933667
650	0.7551928213	0.6645770205
651	0.7552390402	0.664542173
652	0.7552102992	0.6644960828
653	0.7553909585	0.6644814758
654	0.755480848	0.6643963204
655	0.7556293928	0.6642887999
656	0.755675312	0.6640902608
657	0.7555714871	0.6638335416
658	0.7556236884	0.6637126331
659	0.7567937764	0.6633948487
660	0.7567283642	0.6629376726
661	0.7567744941	0.6627886087
662	0.7568470735	0.6622754689
663	0.7567539121	0.662202584
664	0.7570101512	0.6620367851
665	0.7572194642	0.6619501211
666	0.7571193947	0.6618999303
667	0.7570511773	0.6616311557
668	0.7572233892	0.661528636
669	0.757126281	0.661442033
670	0.7572515045	0.661357172
671	0.7572015184	0.6611385816
672	0.7570303753	0.6610778675
673	0.7570791282	0.6610412187
674	0.7570210004	0.6609863812
675	0.7572295989	0.6607574653
676	0.7573639523	0.6605153134
677	0.7574327557	0.6604148947
678	0.7574315468	0.6603957077
679	0.7574333295	0.6603314841
680	0.7574113157	0.6600914333
681	0.7573910304	0.6600222452
682	0.7574158712	0.6599891624
683	0.7576342204	0.6598614335
684	0.7574959592	0.6598257668
685	0.7575340743	0.6596998075
686	0.7575881717	0.6595352954
687	0.7576053677	0.6594469382
688	0.757624152	0.6593415821
689	0.757558373	0.6592720393
690	0.7576377478	0.6592238064
691	0.7577251708	0.6589879938
692	0.7575425313	0.6588699237
693	0.7577086087	0.6587306519
694	0.7579855424	0.658311248
695	0.7581023025	0.6582137684
696	0.7580557811	0.6581300666
697	0.7584813583	0.658022153
698	0.7586196583	0.6578629913
699	0.7588724057	0.6577411669
700	0.758862776	0.6576777385
701	0.7592157225	0.6574653968
702	0.7591999279	0.6573872708
703	0.7592441822	0.6573237349
704	0.7593442613	0.6572328253
705	0.7592698783	0.6571670426
706	0.7592213199	0.6571020449
707	0.759272018	0.6569949682
708	0.7593550794	0.6568857719
709	0.7596618098	0.6565561889
710	0.7596504006	0.656458692
711	0.7595934729	0.6564031362
712	0.7595452084	0.6563033435
713	0.7594120948	0.656277034
714	0.7597695699	0.656145569
715	0.759899191	0.6561158431
716	0.7598964844	0.6560240934
717	0.7596021577	0.6559503248
718	0.7599733454	0.6558184002
719	0.7599206947	0.65568408
720	0.7598570414	0.6555926505
721	0.7600146016	0.6554417107
722	0.7601133679	0.6553401088
723	0.7602974306	0.6551876356
724	0.7602675198	0.6550921592
725	0.7602970906	0.6550196387
726	0.7604082298	0.6549240568
727	0.7605923183	0.6548703113
728	0.7605325009	0.6545670595
729	0.7609021696	0.654497243
730	0.7608680751	0.6544411929
731	0.7607999927	0.6544023716
732	0.7607982469	0.6543567141
733	0.7607556644	0.6542125678
734	0.7607045879	0.6541482493
735	0.7607804334	0.6540327706
736	0.7607428664	0.6539128358
737	0.7613256838	0.6536956584
738	0.7614016514	0.6535769329
739	0.76143676	0.6535456504
740	0.7613537057	0.6534341318
741	0.7613710613	0.6531056735
742	0.7612966468	0.6530358501
743	0.761668993	0.6529734532
744	0.7616120733	0.652902569
745	0.7618908015	0.6526456629
746	0.7620580129	0.6524432191
747	0.7620751507	0.6523162078
748	0.7621573357	0.6522828718
749	0.7620846073	0.6521879402
750	0.7620168662	0.6521287302
751	0.762157492	0.6520710684
752	0.7623530771	0.6519860694
753	0.7624355873	0.651919598
754	0.762461514	0.6516602897
755	0.7623956707	0.651615085
756	0.7624728819	0.6514949158
757	0.7624986602	0.6514231412
758	0.7624288175	0.6512717068
759	0.7626194373	0.6512028958
760	0.7626274057	0.6510861203
761	0.7629015079	0.6510119604
762	0.7630149792	0.6509422031
763	0.7628454664	0.6508990791
764	0.7628819068	0.6507666169
765	0.762766623	0.6507067153
766	0.7628912923	0.6505948778
767	0.7629381015	0.6505175429
768	0.7628983778	0.65042085
769	0.7629909112	0.6502651245
770	0.7630243054	0.650137807
771	0.7630093274	0.650034246
772	0.763141553	0.6499596337
773	0.7632567344	0.6498526476
774	0.7631900804	0.6497821878
775	0.7631198857	0.6497092427
776	0.7632105619	0.6496329729
777	0.7633298177	0.6494496511
778	0.7635059496	0.6493376459
779	0.7635832639	0.6492516244
780	0.7631643068	0.649054459
781	0.7633421295	0.6489788173
782	0.7632284621	0.6489334453
783	0.7634003769	0.6488868111
784	0.7633376842	0.6488333222
785	0.7636304245	0.6486720083
786	0.7636159675	0.6484574334
787	0.7637459428	0.648381976
788	0.7638791772	0.6483150887
789	0.7638764374	0.6478513043
790	0.7642151681	0.647752217
791	0.7640859023	0.6476562365
792	0.7642518802	0.647573403
793	0.7642737256	0.6474577433
794	0.7644036841	0.647175117
795	0.7644270696	0.6471162879
796	0.764612544	0.6470420224
797	0.7644798565	0.6470043475
798	0.7642663313	0.6468960538
799	0.764252678	0.6468752761
800	0.7643869183	0.6468034677
801	0.7643202351	0.6467527879
802	0.7643576312	0.6466841364
803	0.764447913	0.6466146672
804	0.7645325227	0.6465371187
805	0.7648138369	0.6462225849
806	0.7647919735	0.6460125281
807	0.7647544449	0.6459398624
808	0.7647626875	0.6457590084
809	0.7648096545	0.645677237
810	0.764710846	0.6455950034
811	0.7649067863	0.645330894
812	0.76502241	0.6452768078
813	0.7651356731	0.6451421509
814	0.7652120966	0.6448998231
815	0.7653438957	0.6445965514
816	0.7653431814	0.6445103958
817	0.7652902803	0.6444857075
818	0.7655582221	0.6443452203
819	0.7656149191	0.6443050973
820	0.7658789907	0.6440444066
821	0.7659041729	0.6438106759
822	0.765867962	0.6437543094
823	0.7659976407	0.6436975936
824	0.7661490617	0.6435767261
825	0.7659051294	0.6435352543
826	0.7661996655	0.6435056417
827	0.7662219481	0.6434375809
828	0.7662569699	0.6433381412
829	0.7662829035	0.6432419174
830	0.7663537703	0.6430928315
831	0.7662977591	0.6428417661
832	0.7663479977	0.6426381323
833	0.7663087116	0.6425906022
834	0.7662834631	0.6424840975
835	0.766320698	0.6424472794
836	0.7662866772	0.6423920868
837	0.7663344073	0.6421335745
838	0.766433331	0.6420448355
839	0.7664983413	0.6419542472
840	0.7666160154	0.6418573978
841	0.7666857523	0.6417957573
842	0.7665800681	0.6414783242
843	0.7666754067	0.6413740316
844	0.7666605192	0.6412585796
845	0.7666403988	0.6412356558
846	0.7665384423	0.6411587688
847	0.7671138968	0.6407963837
848	0.7671496903	0.6405011241
849	0.7670293871	0.6404310181
850	0.7670681882	0.6403411605
851	0.7670981494	0.6402909899
852	0.7670789828	0.6402592755
853	0.7670754447	0.6401835523
854	0.7672875523	0.6400857289
855	0.7671594208	0.6399486326
856	0.7672059837	0.6398910303
857	0.7672920176	0.6397871161
858	0.7672671133	0.6397058618
859	0.7672661575	0.6396718527
860	0.7673284199	0.639563492
861	0.767497786	0.6393112629
862	0.7676478917	0.6392650631
863	0.7675417063	0.6390695359
864	0.7677808736	0.6389759568
865	0.7677388196	0.6389107826
866	0.7679565083	0.6387067686
867	0.7678600256	0.6386411293
868	0.7679712124	0.6384817153
869	0.7680333496	0.638325185
870	0.7679560893	0.6381790088
871	0.7678223852	0.6380493225
872	0.768047005	0.6379431519
873	0.7682086015	0.6379051645
874	0.7685732135	0.6376691012
875	0.7686451097	0.6374250617
876	0.7689223379	0.6373436111
877	0.7690806692	0.6372774158
878	0.7691351157	0.6371793968
879	0.7692899492	0.6371303461
880	0.7693170864	0.6369116266
881	0.7691296499	0.6368295245
882	0.7690930993	0.6367292261
883	0.7690896857	0.6365556525
884	0.7691889662	0.6364631495
885	0.7690251148	0.6364254577
